job,classe
1,12
2,12
3,12
4,8
5,12
6,1
7,4
8,12
9,12
10,12
11,12
12,12
13,18
14,12
15,12
16,12
17,12
18,15
19,12
20,12
21,12
22,15
23,12
24,12
25,4
26,8
27,8
28,8
29,3
30,8
31,8
32,15
33,10
34,10
35,8
36,10
37,10
38,10
39,8
40,10
41,8
42,8
43,1
44,1
45,1
46,1
47,12
48,1
49,12
50,12
51,12
52,12
53,4
54,4
55,4
56,6
57,4
58,15
59,6
60,1
61,4
62,1
63,4
64,4
65,5
66,6
67,2
68,2
69,2
70,15
71,2
72,2
73,4
74,14
75,4
76,4
77,4
78,4
79,8
80,8
81,6
82,4
83,1
84,1
85,12
86,4
87,18
88,1
89,15
90,12
91,4
92,1
93,18
94,12
95,12
96,12
97,12
98,12
99,12
100,12
101,2
102,2
103,2
104,2
105,2
106,2
107,3
108,3
109,3
110,3
111,8
112,15
113,12
114,1
115,1
116,1
117,12
118,12
119,1
120,12
121,12
122,12
123,12
124,12
125,2
126,2
127,2
128,2
129,2
130,2
131,3
132,10
133,6
134,6
135,4
136,1
137,4
138,4
139,5
140,10
141,5
142,5
143,10
144,5
145,5
146,10
147,8
148,8
149,12
150,12
151,12
152,12
153,12
154,1
155,12
156,12
157,12
158,12
159,1
160,1
161,12
162,1
163,12
164,18
165,18
166,18
167,12
168,8
169,18
170,12
171,18
172,18
173,15
174,15
175,12
176,12
177,1
178,1
179,4
180,4
181,15
182,1
183,4
184,4
185,8
186,8
187,4
188,6
189,8
190,12
191,1
192,12
193,12
194,12
195,1
196,4
197,12
198,3
199,14
200,3
201,3
202,3
203,3
204,10
205,10
206,10
207,10
208,12
209,12
210,12
211,12
212,12
213,12
214,12
215,12
216,1
217,12
218,18
219,18
220,1
221,1
222,12
223,12
224,12
225,12
226,12
227,12
228,5
229,5
230,5
231,6
232,12
233,12
234,12
235,12
236,12
237,12
238,12
239,12
240,12
241,12
242,12
243,12
244,12
245,3
246,12
247,12
248,3
249,3
250,8
251,3
252,3
253,3
254,3
255,3
256,12
257,18
258,5
259,5
260,5
261,5
262,5
263,10
264,5
265,5
266,5
267,5
268,12
269,12
270,12
271,12
272,8
273,8
274,8
275,8
276,3
277,10
278,13
279,13
280,3
281,3
282,3
283,3
284,3
285,3
286,3
287,14
288,12
289,3
290,3
291,8
292,3
293,3
294,3
295,3
296,3
297,3
298,15
299,18
300,3
301,3
302,8
303,3
304,8
305,10
306,10
307,10
308,10
309,10
310,5
311,10
312,5
313,5
314,5
315,5
316,4
317,5
318,6
319,5
320,5
321,5
322,5
323,5
324,5
325,5
326,5
327,6
328,6
329,6
330,12
331,12
332,12
333,12
